time_min,temp_C,OD600,strain,well,media,pos_selection,promoter,volume_marker,date,run_number,blank_val,OD_sub,logistic_growth_rate,logistic_carrying_capacity,gp_OD600,log_OD600,gp_OD600_std,log_OD600_std,gp_growth_rate,gp_growth_rate_std,gp_doubling_time,gp_doubling_time_std
24.166666666666668,37.1,0.044,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.0375,0.006499999999999999,0.009162145,0.7842095,0.07944575000000001,0.01685415,0.024007143429052805,0.5418187050382265,-0.0010481800000000001,0.00016330782354135253,-661.2874999999999,118.55256042502393
49.16666666666666,37.1,0.045,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.0375,0.0075,0.009162145,0.7842095,0.0566854,0.01993295,0.02145339922825138,0.5354584556317649,-0.0007733115,0.00013484192532118536,-896.3365,189.21461608243087
74.16666666666667,37.1,0.048,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.0375,0.010500000000000002,0.009162145,0.7842095,0.041080000000000005,0.02392725,0.021675689566926212,0.5399908489762372,-0.0005072995000000001,0.00011105545754217304,-1366.345,627.5444089000756
99.16666666666669,37.0,0.051,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.013249999999999998,0.009162145,0.7842095,0.030722850000000003,0.028958499999999998,0.020769614742281093,0.5351526485878185,-0.0002516555,9.055729448427324e-05,-2749.9,48744.0243090562
124.16666666666669,37.1,0.054,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.01625,0.009162145,0.7842095,0.0270716,0.03521055,0.021638482424636563,0.535617720386743,-8.15685e-06,7.440268391723794e-05,-5459.57,278147.32423314103
149.16666666666666,37.1,0.059,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.0375,0.0215,0.009162145,0.7842095,0.03004405,0.04299555,0.02069979368347268,0.5276040445418734,0.0002217065,5.984125980300985e-05,3126.42,1306.9342665956058
174.16666666666666,37.0,0.065,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.027250000000000003,0.009162145,0.7842095,0.0382053,0.0524613,0.020773530571166692,0.5275745751595257,0.00043483650000000003,5.006171110186099e-05,1594.04,190.56084455739904
199.16666666666663,37.1,0.072,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.034249999999999996,0.009162145,0.7842095,0.053475800000000004,0.06385255000000001,0.021508716020546773,0.5204798839836886,0.000629919,4.2977383756381556e-05,1100.375,76.16379526835648
224.16666666666663,37.0,0.081,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.043250000000000004,0.009162145,0.7842095,0.06898675,0.0781319,0.02073303359148151,0.5130553842076098,0.0008076909999999999,3.8108050237304945e-05,858.184,40.78171888688144
249.16666666666663,37.0,0.093,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.05525,0.009162145,0.7842095,0.09264430000000001,0.09471705,0.02078619715052135,0.5094676770308195,0.0009665794999999999,3.523829783587508e-05,717.1135,26.273986861590977
274.1666666666667,37.0,0.107,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.06925,0.009162145,0.7842095,0.11861050000000001,0.114642,0.02095958141377453,0.5003556251168688,0.00110552,3.4194982137065216e-05,626.9855,19.49265802143634
299.1666666666667,37.0,0.127,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.08925,0.009162145,0.7842095,0.146815,0.138431,0.021102017224170138,0.49267816535607356,0.00122383,3.4765713232651104e-05,566.375,16.101042896172228
324.1666666666667,37.1,0.151,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.11324999999999999,0.009162145,0.7842095,0.18027300000000002,0.165937,0.021664594615015357,0.4776971994383528,0.001322995,3.473790409404307e-05,523.9225,13.770438719036745
349.1666666666667,37.0,0.17,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.13225,0.009162145,0.7842095,0.2145865,0.1968855,0.020554312085908678,0.4644014230984008,0.00140246,3.491710602424867e-05,494.236,12.374298625306295
374.1666666666667,37.0,0.197,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.15925,0.009162145,0.7842095,0.2492275,0.23198249999999998,0.020675687795848108,0.4507428938738081,0.0014594299999999998,3.540243573228385e-05,474.943,11.574324727364823
399.1666666666667,37.1,0.242,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.20425,0.009162145,0.7842095,0.2862475,0.27040200000000003,0.02061802852294014,0.43641751307746957,0.00150023,3.599527755458979e-05,462.0265,11.17535634076215
424.1666666666667,37.0,0.302,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.26425,0.009162145,0.7842095,0.3246875,0.31198400000000004,0.020798311758563608,0.41807416163193645,0.0015201,3.576621047791337e-05,455.987,10.811474870913258
449.1666666666667,37.0,0.351,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.31325,0.009162145,0.7842095,0.3625955,0.355267,0.019944839472680935,0.3968690908835603,0.0015224449999999999,3.522926984140319e-05,455.2855,10.583725360195437
474.1666666666667,37.0,0.405,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.36725,0.009162145,0.7842095,0.4001625,0.40019150000000003,0.02028357052286298,0.3757926415748132,0.00150855,3.398219777200933e-05,459.47950000000003,10.401453214411893
499.1666666666667,37.0,0.456,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.41825,0.009162145,0.7842095,0.4385015,0.4439375,0.020376808790357456,0.36566509330138164,0.001477665,3.3486908577316516e-05,469.0825,10.667149477299716
524.1666666666666,37.0,0.498,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.46025,0.009162145,0.7842095,0.4735435,0.487543,0.020409833203940624,0.3444922453650199,0.0014345999999999999,3.196840199884256e-05,483.1645,10.783721491577198
549.1666666666666,37.1,0.537,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.49925,0.009162145,0.7842095,0.508781,0.5283249999999999,0.021039063118713248,0.3258874402439697,0.001377605,3.010531650581934e-05,503.1535,10.999567701401835
574.1666666666666,37.1,0.577,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.53925,0.009162145,0.7842095,0.543634,0.5662065000000001,0.020303167749655848,0.3124149618774756,0.001309605,2.9118885541445817e-05,529.2775,11.751428263137381
599.1666666666666,37.1,0.603,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.56525,0.009162145,0.7842095,0.573893,0.6000325,0.020014501590763706,0.2963204119118863,0.001233605,2.7444128873262156e-05,561.8879999999999,12.503490311901794
624.1666666666666,37.1,0.63,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.59225,0.009162145,0.7842095,0.604067,0.6306754999999999,0.020928566056225263,0.2859552923378796,0.00114898,2.6727328502239472e-05,603.2725,14.060851547122224
649.1666666666666,37.1,0.652,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.6142500000000001,0.009162145,0.7842095,0.6340205,0.657334,0.020196217754018364,0.26985765285462193,0.001057145,2.6008993107362218e-05,655.6800000000001,16.09687610005595
674.1666666666666,37.1,0.683,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3,0.03775,0.6452500000000001,0.009162145,0.7842095,0.6566125,0.6801714999999999,0.020923418633430474,0.26331467046991247,0.0009640435,2.6230424447926968e-05,719.0,19.679917540584825
