time_min,temp_C,OD600,strain,well,media,pos_selection,promoter,volume_marker,date,run_number
24.166666666666668,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
49.166666666666664,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
74.16666666666667,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
99.16666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
124.16666666666667,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
149.16666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
174.16666666666666,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
199.16666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
224.16666666666666,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
249.16666666666666,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
274.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
299.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
324.1666666666667,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
349.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
374.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
399.1666666666667,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
424.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
449.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
474.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
499.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
524.1666666666666,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
549.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
574.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
599.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
624.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
649.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
674.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
699.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
724.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
749.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
774.1666666666666,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
799.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
824.1666666666666,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
849.1666666666666,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
874.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
899.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
924.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
949.1666666666666,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
974.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
999.1666666666666,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1024.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1049.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1074.1666666666667,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1099.1666666666667,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1124.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1149.1666666666667,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1174.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1199.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1224.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1249.1666666666667,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1274.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1299.1666666666667,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1324.1666666666667,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1349.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1374.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1399.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1424.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1449.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1474.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1499.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1524.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1549.1666666666667,37.1,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
1574.1666666666667,37.0,0.038,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210714,3
24.166666666666668,37.1,0.044,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
49.166666666666664,37.1,0.045,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
74.16666666666667,37.1,0.048,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
99.16666666666667,37.0,0.051,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
124.16666666666667,37.1,0.054,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
149.16666666666666,37.1,0.059,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
174.16666666666666,37.0,0.065,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
199.16666666666666,37.1,0.072,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
224.16666666666666,37.0,0.081,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
249.16666666666666,37.0,0.093,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
274.1666666666667,37.0,0.107,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
299.1666666666667,37.0,0.127,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
324.1666666666667,37.1,0.151,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
349.1666666666667,37.0,0.17,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
374.1666666666667,37.0,0.197,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
399.1666666666667,37.1,0.242,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
424.1666666666667,37.0,0.302,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
449.1666666666667,37.0,0.351,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
474.1666666666667,37.0,0.405,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
499.1666666666667,37.0,0.456,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
524.1666666666666,37.0,0.498,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
549.1666666666666,37.1,0.537,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
574.1666666666666,37.1,0.577,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
599.1666666666666,37.1,0.603,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
624.1666666666666,37.1,0.63,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
649.1666666666666,37.1,0.652,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
674.1666666666666,37.1,0.683,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
699.1666666666666,37.1,0.694,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
724.1666666666666,37.1,0.705,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
749.1666666666666,37.1,0.718,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
774.1666666666666,37.0,0.729,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
799.1666666666666,37.1,0.738,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
824.1666666666666,37.0,0.746,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210714,3
