Strain,Growth Condition,2:00,2:30,3:00,3:30,4:00,4:30,5:00
MG1655,Shaker 5ml 37C,0.13,0.19,0.25,0.38,0.45,0.49,0.54
MG1655,Shaker 5ml 22C,0.04,0.09,0.13,0.22,0.32,0.41,0.47
MG1655,37C Incubator,0.05,0.11,0.20,0.28,0.38,0.46,0.56
3.19,Shaker 5ml 37C,0.16,0.23,0.36,0.44,0.46,0.62,0.8
3.19,Shaker 5ml 22C,0.13,0.18,0.27,0.33,0.45,0.55,0.64
3.19,37C Incubator,0.1,0.14,0.24,0.30,0.43,0.51,0.62
IW,Shaker 5ml 37C,0.16,0.20,0.28,0.39,0.44,0.47,0.59
IW,Shaker 5ml 22C,0.07,0.10,0.12,0.20,0.26,0.38,0.44
IW,37C Incubator,0.08,0.13,0.21,0.30,0.43,0.51,0.63
WT,Shaker 5ml 37C,0.17,0.27,0.37,0.46,0.57,0.74,0.95
WT,Shaker 5ml 22C,0.04,0.09,0.14,0.20,0.30,0.41,0.5
WT,37C Incubator,0.11,0.19,0.26,0.37,0.46,0.56,0.65
UV5,Shaker 5ml 37C,0.23,0.30,0.43,0.48,0.55,0.74,0.89
UV5,Shaker 5ml 22C,0.04,0.07,0.11,0.28,0.34,0.43,0.49
UV5,37C Incubator,0.09,0.20,0.24,0.33,0.47,0.54,0.67
