time_min,temp_C,OD600,YFP,strain,well,media,pos_selection,promoter,volume_marker,date,run_number,blank_val,OD_sub,gp_OD600,gp_OD600_std,gp_growth_rate,gp_growth_rate_std,gp_doubling_time,gp_doubling_time_std
18.95,37.1,0.063,32.0,lacUV5_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,lacUV5,mCherry,20200714,1,0.031000000000000014,0.03199999999999999,0.07959920000000001,0.014669631241094716,-0.0007628805,0.0006706069251388867,-754.1320000000001,1029.1574921349045
38.95,37.0,0.069,37.0,lacUV5_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,lacUV5,mCherry,20200714,1,0.031000000000000014,0.03799999999999999,0.07133629999999999,0.00809790660821578,-0.000425076,0.00043669848028156974,-1266.67,1509.3612679856094
58.95,37.0,0.075,37.0,lacUV5_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,lacUV5,mCherry,20200714,1,0.031000000000000014,0.043999999999999984,0.07284109999999999,0.009258094750370028,-0.000102698,0.00024046057221798113,-3483.55,34690.21565063604
78.95,37.1,0.084,35.0,lacUV5_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,lacUV5,mCherry,20200714,1,0.031000000000000014,0.05299999999999999,0.07337905,0.011074729324638013,0.000205042,8.881803829254772e-05,3379.745,2185.649648976371
98.95,37.0,0.092,33.0,lacUV5_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,lacUV5,mCherry,20200714,1,0.031000000000000014,0.060999999999999985,0.0795985,0.011324436526597604,0.000436099,5.547108850127813e-05,1589.4250000000002,213.91688435833942
118.95,37.0,0.102,28.0,lacUV5_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,lacUV5,mCherry,20200714,1,0.031000000000000014,0.07099999999999998,0.09138755000000001,0.010277208984417042,0.0007123935,0.00012224000965701146,972.983,236.96836620348068
138.95,37.1,0.114,37.0,lacUV5_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,lacUV5,mCherry,20200714,1,0.031000000000000014,0.08299999999999999,0.1077465,0.00859219937103703,0.0009618845,0.00016135778349806728,720.6134999999999,176.50237086478037
158.95,37.0,0.128,32.0,lacUV5_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,lacUV5,mCherry,20200714,1,0.031000000000000014,0.09699999999999999,0.12565949999999998,0.007464576290247994,0.001182205,0.0001697296403922742,586.3175,115.75924166303469
178.95,37.1,0.147,32.0,lacUV5_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,lacUV5,mCherry,20200714,1,0.031000000000000014,0.11599999999999998,0.14715650000000002,0.00777851649564437,0.001377035,0.0001533648018791796,503.3605,70.93934155535992
198.95,37.1,0.1689999999999999,29.0,lacUV5_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,lacUV5,mCherry,20200714,1,0.031000000000000014,0.1379999999999999,0.17448550000000002,0.008731999155961137,0.0015428450000000002,0.00011839702826071244,449.2655,39.96529794860799
218.95,37.0,0.1969999999999999,29.0,lacUV5_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,lacUV5,mCherry,20200714,1,0.031000000000000014,0.16599999999999987,0.2068775,0.010055561433308957,0.001681915,7.336510352980142e-05,412.11850000000004,19.21859822458185
