time_min,temp_C,OD600,strain,well,media,pos_selection,promoter,volume_marker,date,run_number,blank_val,OD_sub,logistic_growth_rate,logistic_carrying_capacity,gp_OD600,log_OD600,gp_OD600_std,log_OD600_std,gp_growth_rate,gp_growth_rate_std,gp_doubling_time,gp_doubling_time_std
24.166666666666668,37.0,0.043,MG1655,B01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210608,2,0.03812500000000001,0.043,0.0081267,0.6573325,0.06914110000000001,0.01423315,0.017080337012154206,0.007918611282603528,-0.0008066125,0.00011683701806943936,-859.3305,141.5152323226635
49.16666666666666,37.0,0.044,MG1655,B01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210608,2,0.037833333333333344,0.044,0.0081267,0.6573325,0.05186015,0.017502900000000002,0.016033200828801126,0.007978325880952791,-0.0005986775000000001,9.623822672449009e-05,-1157.795,218.99800247808415
74.16666666666667,37.0,0.046,MG1655,B01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210608,2,0.03775000000000001,0.046,0.0081267,0.6573325,0.039438,0.02112545,0.01499828657501816,0.008105217656255898,-0.000396765,7.997530198672662e-05,-1746.995,479.6022740383353
99.16666666666669,37.1,0.048,MG1655,B01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210608,2,0.03775000000000001,0.048,0.0081267,0.6573325,0.03151775,0.02556605,0.01518321341285258,0.007925932990281947,-0.00020398550000000001,6.53262068077671e-05,-3394.415,7225.679566757319
124.16666666666669,37.0,0.05,MG1655,B01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210608,2,0.03775000000000001,0.05,0.0081267,0.6573325,0.028327249999999998,0.03099425,0.014617802810669232,0.008023798004958073,-2.048485e-05,5.3432605157034455e-05,-9795.02,235602.30736940017
149.16666666666666,37.0,0.053,MG1655,B01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210608,2,0.037666666666666675,0.053,0.0081267,0.6573325,0.03084295,0.03777065,0.014840471759884313,0.008077877120276782,0.00015118549999999998,4.397422327145129e-05,4584.755,2360.612202881419
174.16666666666666,37.0,0.056,MG1655,B01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210608,2,0.03775000000000001,0.056,0.0081267,0.6573325,0.0360215,0.04570975,0.015252212371084657,0.008184945784611462,0.0003111815,3.623536989620644e-05,2227.47,271.2864145559903
199.16666666666663,37.0,0.06,MG1655,B01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210608,2,0.037708333333333344,0.06,0.0081267,0.6573325,0.046378249999999996,0.054965650000000005,0.014989864616785519,0.008125317433059023,0.00046141149999999996,3.087769546820614e-05,1502.2350000000001,102.7012649442599
224.16666666666663,37.0,0.066,MG1655,B01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210608,2,0.037708333333333344,0.066,0.0081267,0.6573325,0.0590152,0.06632405,0.014418529503141318,0.008208507835509365,0.000595202,2.7806493503246668e-05,1164.56,55.395320599741815
249.16666666666663,37.0,0.074,MG1655,B01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210608,2,0.03775000000000001,0.074,0.0081267,0.6573325,0.0756457,0.07938935,0.014712145289827384,0.00818878917230765,0.0007157945,2.6065581152549083e-05,968.3605,35.64150889385079
