time_min,temp_C,OD600,YFP,strain,well,media,pos_selection,promoter,volume_marker,date,run_number
18.95,37.1,0.031,37.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
38.95,37.0,0.031,36.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
58.95,37.0,0.031,35.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
78.95,37.1,0.031,45.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
98.95,37.0,0.031,39.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
118.95,37.0,0.031,35.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
138.95,37.1,0.031,33.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
158.95,37.0,0.031,30.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
178.95,37.1,0.031,37.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
198.95,37.1,0.031,35.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
218.95,37.0,0.031,28.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
238.95,37.1,0.031,33.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
258.95,37.0,0.031,33.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
278.95,37.0,0.031,28.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
298.95,37.0,0.031,32.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
318.95,37.1,0.031,32.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
338.95,37.0,0.031,26.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
358.95,37.0,0.031,31.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
378.95,37.0,0.031,34.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
398.95,37.0,0.031,33.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
418.95,37.0,0.031,32.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
438.95,37.1,0.03,45.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
458.95,37.1,0.031,32.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
478.95,37.0,0.031,28.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
498.95,37.0,0.031,28.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
518.95,37.0,0.031,32.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
538.95,37.0,0.031,32.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
558.95,37.0,0.031,30.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
578.95,37.1,0.03,36.0,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,blank,20200714,1
