time_min,temp_C,OD600,strain,well,media,pos_selection,promoter,volume_marker,date,run_number
24.166666666666668,37.1,0.063,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
49.166666666666664,37.0,0.066,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
74.16666666666667,37.0,0.072,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
99.16666666666667,37.1,0.079,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
124.16666666666667,37.1,0.088,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
149.16666666666666,37.0,0.1,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
174.16666666666666,37.0,0.115,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
199.16666666666666,37.0,0.131,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
224.16666666666666,37.0,0.149,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
249.16666666666666,37.0,0.17,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
274.1666666666667,37.1,0.212,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
299.1666666666667,37.0,0.254,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
324.1666666666667,37.0,0.296,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
349.1666666666667,37.0,0.347,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
374.1666666666667,37.1,0.392,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
399.1666666666667,37.1,0.434,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
424.1666666666667,37.0,0.48,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
449.1666666666667,37.1,0.511,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
474.1666666666667,37.1,0.53,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
499.1666666666667,37.0,0.551,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
524.1666666666666,37.0,0.571,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
549.1666666666666,37.1,0.597,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
574.1666666666666,37.0,0.614,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
599.1666666666666,37.0,0.625,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
624.1666666666666,37.0,0.629,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
649.1666666666666,37.1,0.64,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
674.1666666666666,37.1,0.652,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
699.1666666666666,37.1,0.66,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
724.1666666666666,37.0,0.669,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
749.1666666666666,37.0,0.677,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
774.1666666666666,37.1,0.682,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
799.1666666666666,37.1,0.689,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
824.1666666666666,37.0,0.694,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
849.1666666666666,37.0,0.699,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
874.1666666666666,37.0,0.704,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
899.1666666666666,37.0,0.708,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
924.1666666666666,37.0,0.712,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
949.1666666666666,37.0,0.715,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
974.1666666666666,37.1,0.719,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
999.1666666666666,37.1,0.721,blank,A01,M9_0.5%_glucose,0_µg/ml_tc,blank,blank,20210127,1
