time_min,temp_C,OD600,strain,well,media,pos_selection,promoter,volume_marker,date,run_number
24.166666666666668,37.1,0.043,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
49.166666666666664,37.0,0.044,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
74.16666666666667,37.1,0.046,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
99.16666666666667,37.0,0.048,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
124.16666666666667,37.0,0.051,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
149.16666666666666,37.0,0.055,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
174.16666666666666,37.1,0.059,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
199.16666666666666,37.1,0.064,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
224.16666666666666,37.0,0.07,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
249.16666666666666,37.0,0.079,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
274.1666666666667,37.0,0.089,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
299.1666666666667,37.1,0.102,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
324.1666666666667,37.0,0.119,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
349.1666666666667,37.1,0.139,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
374.1666666666667,37.0,0.162,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
399.1666666666667,37.1,0.187,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
424.1666666666667,37.0,0.221,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
449.1666666666667,37.1,0.246,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
474.1666666666667,37.1,0.257,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
499.1666666666667,37.1,0.286,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
524.1666666666666,37.1,0.346,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
549.1666666666666,37.0,0.407,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
574.1666666666666,37.0,0.448,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
599.1666666666666,37.1,0.474,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
624.1666666666666,37.0,0.497,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
649.1666666666666,37.1,0.524,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
674.1666666666666,37.1,0.536,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
699.1666666666666,37.0,0.557,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
724.1666666666666,37.1,0.571,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
749.1666666666666,37.0,0.587,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
774.1666666666666,37.0,0.599,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
799.1666666666666,37.0,0.604,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
824.1666666666666,37.0,0.614,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
849.1666666666666,37.1,0.62,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
874.1666666666666,37.1,0.627,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
899.1666666666666,37.0,0.633,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
924.1666666666666,37.0,0.636,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
949.1666666666666,37.0,0.644,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
974.1666666666666,37.0,0.645,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
999.1666666666666,37.0,0.649,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
1024.1666666666667,37.0,0.65,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
1049.1666666666667,37.0,0.65,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
1074.1666666666667,37.1,0.651,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
1099.1666666666667,37.0,0.652,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3
