time_min,temp_C,OD600,strain,well,media,pos_selection,promoter,volume_marker,date,run_number,OD_sub,gp_OD600,gp_OD600_std,gp_growth_rate,gp_growth_rate_std,gp_doubling_time,gp_doubling_time_std
24.166666666666668,37.1,0.043,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3,0.043,0.07220560000000001,0.018946198343931703,-0.000748027,0.0001387533935360028,-926.6334999999999,401.4054104790935
49.16666666666666,37.0,0.044,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3,0.044,0.05508565,0.01742491221003602,-0.0005672990000000001,0.00011130500109865858,-1221.835,366.4510184567059
74.16666666666667,37.1,0.046,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3,0.046,0.0431087,0.017686972553536493,-0.00039071449999999997,8.932188405468739e-05,-1774.05,657.0176725966663
99.16666666666669,37.0,0.048,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3,0.048,0.0355054,0.0176140193761558,-0.000215439,7.181872105571725e-05,-3216.125,6408.1645652060915
124.16666666666669,37.0,0.051,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3,0.051,0.031810950000000005,0.016817850640401595,-4.958325e-05,5.8044912189778847e-05,-9185.75,201383.69344204196
149.16666666666666,37.0,0.055,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3,0.055,0.03250675,0.01676750767933241,0.00010821299999999999,4.87073373438139e-05,6277.555,51451.366879538524
174.16666666666666,37.1,0.059,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3,0.059,0.037531949999999994,0.016965769414022832,0.00025976,4.199378776754325e-05,2668.41,489.9171459232793
199.16666666666663,37.1,0.064,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3,0.064,0.0449525,0.01743303717838282,0.0004017785,3.7078474750699575e-05,1725.195,169.8532340254068
224.16666666666663,37.0,0.07,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3,0.07,0.0573514,0.016772627019537124,0.000533792,3.477011267374375e-05,1298.5349999999999,88.95270944668029
249.16666666666663,37.0,0.079,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210213,3,0.079,0.07209185,0.017520745160544332,0.0006557245000000001,3.270707523219559e-05,1057.0749999999998,55.09362842773317
