time_min,temp_C,OD600,strain,well,media,pos_selection,promoter,volume_marker,date,run_number,blank_val,OD_sub,logistic_growth_rate,logistic_carrying_capacity,gp_OD600,log_OD600,gp_OD600_std,log_OD600_std,gp_growth_rate,gp_growth_rate_std,gp_doubling_time,gp_doubling_time_std
24.166666666666668,37.1,0.04,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210713,2,0.03775,0.002250000000000002,0.317596,1.6303195,0.0845034,1.087574,0.036048606990716936,2.0679602706082085,-0.0009963605000000001,0.0004495987267276983,-669.515,949.567959151432
49.16666666666666,37.1,0.041,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210713,2,0.03775,0.003250000000000003,0.317596,1.6303195,0.06074515,1.0066495,0.03080859323147468,2.093450705178491,-0.000826747,0.0003388097072514153,-808.822,3131.1911558720885
74.16666666666667,37.1,0.042,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210713,2,0.03775,0.004250000000000004,0.317596,1.6303195,0.04377,1.054522,0.03013311850909428,2.08340248663681,-0.0006516594999999999,0.00024327083087990372,-1027.87,10550.173029090569
99.16666666666669,37.0,0.043,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210713,2,0.03775,0.005249999999999998,0.317596,1.6303195,0.032820550000000004,1.2029205,0.029165094606984427,2.0852808239778384,-0.00047758800000000004,0.00016481493919989927,-1420.66,26510.635068157964
124.16666666666669,37.0,0.044,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210713,2,0.03775,0.006249999999999999,0.317596,1.6303195,0.02309295,1.062466,0.029688213872451342,2.0852081499133703,-0.0003057365,0.00010645426913030968,-2265.21,6853.616328987526
149.16666666666666,37.1,0.046,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210713,2,0.03775,0.00825,0.317596,1.6303195,0.01647035,1.082928,0.029573084901361315,2.0890682978996495,-0.000142457,7.513089310176966e-05,-4726.1849999999995,33256.694935681364
174.16666666666666,37.1,0.049,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210713,2,0.03775,0.011250000000000003,0.317596,1.6303195,0.01702065,0.8951505,0.029245751894989572,2.084225767922717,1.55415e-05,7.403977558568168e-05,6890.3099999999995,775109.1056907886
199.16666666666663,37.0,0.051,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210713,2,0.03775,0.013249999999999998,0.317596,1.6303195,0.01898515,1.0468155000000001,0.028672193001274885,2.078119680250742,0.0001816325,8.760865832384332e-05,3573.75,54033.00732179243
224.16666666666663,37.0,0.054,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210713,2,0.03775,0.01625,0.317596,1.6303195,0.02451335,1.046733,0.02913843980410264,2.0794411270105124,0.0003378195,9.902925628757748e-05,2036.0349999999999,92441.00647318563
249.16666666666663,37.1,0.058,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210713,2,0.03775,0.020250000000000004,0.317596,1.6303195,0.031969700000000004,1.0248985,0.029005660465575622,2.080058618113771,0.0004882755,0.00010445436395174954,1419.58,1623.9341506286664
