strain,pos_selection,well,lambda_max,exp_growth_rate
MG1655_1,none,B02,0.006851486573987018,0.0065088583975
MG1655_1,none,B03,0.006742512998778321,0.0064228927325
MG1655_1,none,B04,0.007696155271706494,0.0070919609825
MG1655_1,none,B05,0.007140124964226142,0.0068382083425
MG1655_1,none,B06,0.008232669482469368,0.007606285335000001
MG1655_supp_1,none,B07,0.0074575311480333,0.0066394972625
MG1655_supp_1,none,B08,0.008686610312576133,0.007624271009999999
MG1655_supp_1,none,B09,0.008102068869382308,0.007413168807499999
MG1655_supp_1,none,B10,0.008614845025722042,0.00780455921
MG1655_supp_1,none,B11,0.008674344218404371,0.007782482615000001
MG1655_1,none,C02,0.006979363784101504,0.0065654221725
MG1655_1,none,C03,0.007893494723592569,0.0072318642224999995
MG1655_1,none,C04,0.007303990016204508,0.0068508354425
MG1655_1,none,C05,0.007011184847903539,0.006560736322499999
MG1655_1,none,C06,0.007407370693447949,0.0070934399675
MG1655_supp_1,none,C07,0.008116799895251672,0.006622600030000001
MG1655_supp_1,none,C08,0.00839262717081563,0.00651562693
MG1655_supp_1,none,C09,0.008343382976470835,0.00708230118
MG1655_supp_1,none,C10,0.00788550022077145,0.007248558312499999
MG1655_supp_1,none,C11,0.008850191929070982,0.008015957332499999
MG1655_2,none,D02,0.007933160355038714,0.007180900305
MG1655_2,none,D03,0.007902581445176042,0.0073717663825000005
MG1655_2,none,D04,0.006919872163504284,0.0063509428525
MG1655_2,none,D05,0.006976216070335954,0.0065400158125
MG1655_2,none,D06,0.007667795705288808,0.007088629250000001
MG1655_supp_2,none,D07,0.008058054610880341,0.0062782692000000005
MG1655_supp_2,none,D08,0.007777912369503401,0.006556106849999999
MG1655_supp_2,none,D09,0.00827396675037561,0.006753159367499999
MG1655_supp_2,none,D10,0.007383058660799234,0.0071577139075
MG1655_supp_2,none,D11,0.00866424582054725,0.00760055637
MG1655_2,none,E02,0.008094063491388252,0.0073133515375
MG1655_2,none,E03,0.00798354824728667,0.007380935595
MG1655_2,none,E04,0.007913134905532245,0.007263248962500001
MG1655_2,none,E05,0.007694723652945386,0.007084765172499999
MG1655_2,none,E06,0.008130669193584798,0.0074897981224999995
MG1655_supp_2,none,E07,0.007823335900501122,0.006412071035
MG1655_supp_2,none,E08,0.007754830204824142,0.007280390865
MG1655_supp_2,none,E09,0.00769964026667876,0.0071105404950000005
MG1655_supp_2,none,E10,0.008837438896198426,0.0076591547375
MG1655_supp_2,none,E11,0.008600604694657373,0.0074780913325
MG1655_3,none,F02,0.008069773980600468,0.0073223147599999995
MG1655_3,none,F03,0.008005916526396139,0.00723179292
MG1655_3,none,F04,0.007995824460534406,0.0073858963125
MG1655_3,none,F05,0.00808829400342934,0.00746248443
MG1655_3,none,F06,0.008210305240850682,0.007491786875000001
MG1655_supp_3,none,F07,0.007573563368868835,0.006972440685
MG1655_supp_3,none,F08,0.008251684194643965,0.0077588442825
MG1655_supp_3,none,F09,0.008885904995087422,0.0079949769025
MG1655_supp_3,none,F10,0.008359868398710089,0.0077042368049999995
MG1655_supp_3,none,F11,0.008507563469115551,0.007025415929999999
MG1655_3,none,G02,0.008065891902318188,0.0073898219075
MG1655_3,none,G03,0.007810604629767452,0.006949672709999999
MG1655_3,none,G04,0.007936788473603776,0.0072048012475
MG1655_3,none,G05,0.007974277456203254,0.00723403538
MG1655_3,none,G06,0.00811240474061952,0.0074073878249999985
MG1655_supp_3,none,G07,0.008585137186311214,0.007345706595
MG1655_supp_3,none,G08,0.008300525550471623,0.0074731112375
MG1655_supp_3,none,G09,0.007997790869641459,0.007603933889999999
MG1655_supp_3,none,G10,0.008293206620714472,0.007196475149999999
MG1655_supp_3,none,G11,0.008269220491948785,0.0068426166875
