time_min,temp,OD600,strain,well,media,pos_selection,OD600_norm
19.166666666666668,37.0,0.041,MG1655_1,B02,M9_0.5%_glucose,none,0.002333333333333347
39.166666666666664,37.0,0.042,MG1655_1,B02,M9_0.5%_glucose,none,0.0034444444444444514
59.166666666666664,37.1,0.043,MG1655_1,B02,M9_0.5%_glucose,none,0.004555555555555556
79.16666666666667,37.0,0.044,MG1655_1,B02,M9_0.5%_glucose,none,0.005111111111111108
99.16666666666666,37.0,0.045,MG1655_1,B02,M9_0.5%_glucose,none,0.006472222222222226
119.16666666666666,37.0,0.047,MG1655_1,B02,M9_0.5%_glucose,none,0.008277777777777787
139.16666666666666,37.1,0.049,MG1655_1,B02,M9_0.5%_glucose,none,0.010000000000000002
159.16666666666666,37.0,0.052,MG1655_1,B02,M9_0.5%_glucose,none,0.013000000000000005
179.16666666666666,37.1,0.055,MG1655_1,B02,M9_0.5%_glucose,none,0.016250000000000014
199.16666666666666,37.1,0.058,MG1655_1,B02,M9_0.5%_glucose,none,0.0191388888888889
219.16666666666666,37.1,0.063,MG1655_1,B02,M9_0.5%_glucose,none,0.02447222222222223
239.16666666666666,37.1,0.067,MG1655_1,B02,M9_0.5%_glucose,none,0.02836111111111113
259.1666666666667,37.0,0.073,MG1655_1,B02,M9_0.5%_glucose,none,0.03436111111111111
279.1666666666667,37.1,0.081,MG1655_1,B02,M9_0.5%_glucose,none,0.04219444444444446
299.1666666666667,37.0,0.089,MG1655_1,B02,M9_0.5%_glucose,none,0.05033333333333334
319.1666666666667,37.0,0.1,MG1655_1,B02,M9_0.5%_glucose,none,0.061416666666666675
339.1666666666667,37.1,0.112,MG1655_1,B02,M9_0.5%_glucose,none,0.07333333333333335
359.1666666666667,37.0,0.127,MG1655_1,B02,M9_0.5%_glucose,none,0.08825000000000001
379.1666666666667,37.0,0.144,MG1655_1,B02,M9_0.5%_glucose,none,0.10519444444444444
399.1666666666667,37.1,0.165,MG1655_1,B02,M9_0.5%_glucose,none,0.12630555555555556
419.1666666666667,37.0,0.188,MG1655_1,B02,M9_0.5%_glucose,none,0.14919444444444446
439.1666666666667,37.0,0.213,MG1655_1,B02,M9_0.5%_glucose,none,0.17425000000000002
459.1666666666667,37.0,0.241,MG1655_1,B02,M9_0.5%_glucose,none,0.20224999999999999
479.1666666666667,37.1,0.277,MG1655_1,B02,M9_0.5%_glucose,none,0.2383055555555556
